model number,BC_vars,year,chellman-2017-1.csv,mcconnell-2007-1.csv,osmont-2019-1.csv,barker-2021-1.csv,ming-2008-1.csv,legrand-2023-1.csv,sierra-hernández-2022-1.csv,eichler-2023-1.csv,osmont-2018-1.csv,zdanowicz-2018-1.csv,sigl-2018-1.csv,wolff-2012-1.csv,mcconnell-2021-1.csv,mcconnell-2021-2.csv,mcconnell-2021-3.csv,mcconnell-2021-4.csv,mcconnell-2021-5.csv,taylor-2011-1.csv,arienzo-2017-1.csv,mcconnell-2017-1.csv,liu-2021-1.csv,liu-2021-2.csv,liu-2021-3.csv,liu-2021-4.csv,liu-2021-5.csv,xu-2009-1.csv,rupple-2014-1.csv,zhang-2024-1.csv,zhang-2024-2.csv,zhang-2024-3.csv,zhang-2024-4.csv,zhang-2024-5.csv,zhang-2024-6.csv,zhang-2024-7.csv,zhang-2024-8.csv,zhang-2024-9.csv,zhang-2024-10.csv,zhang-2024-11.csv,zhang-2024-12.csv,zhang-2024-13.csv,mcconnell-2022-1.csv,matthew-2016-1.csv,kaspari-2020-1.csv
26-h11985-01-01-00000,bc_a1_SRF,1985,4.3489075514300116e-10,2.0260588708754764e-12,1.0808661017349756e-12,1.0354858115228073e-11,6.456871939490259e-12,4.2475531221088045e-13,1.560068664344726e-11,4.2687852621184353e-13,4.434539578662107e-13,2.238242855170084e-12,3.205913051061128e-13,3.3862300457896012e-12,1.6301008602603782e-17,1.6301008602603782e-17,2.7637202767912e-15,1.964888198419516e-15,1.0058928297544176e-16,1.763889280621337e-14,8.642105821475092e-15,1.763889280621337e-14,1.385957401695126e-14,1.869279951464155e-15,5.573016485257253e-16,6.198457302772509e-16,5.895201876890469e-16,3.778415591145834e-11,1.1383262167539555e-12,3.3862300457896012e-12,4.988825071454756e-12,4.277015846951439e-12,2.270137217374799e-12,1.7291061075418387e-12,4.295604913932497e-12,4.294714660457143e-12,1.6246360565597482e-13,2.33569378783202e-13,4.588446823275192e-12,3.996492934346324e-15,5.293415338335755e-12,5.910869541787995e-12,1.6246360565597482e-13,3.235099026523614e-11,1.242205515874448e-12
26-h11990-01-01-00000,bc_a1_SRF,1990,9.315050790019405e-11,3.743427752056564e-13,5.113972394986507e-13,2.6956765791537907e-11,2.089451702256589e-11,8.025300369369275e-13,2.3783995538599453e-11,8.991443275595007e-13,1.0477581025027769e-14,1.009601827894895e-12,7.678548604776942e-13,8.746843589000965e-14,4.21989021692908e-15,4.21989021692908e-15,6.157664702325148e-16,6.885045414675747e-17,8.477911449938229e-16,1.1394859542563437e-14,3.899850934421043e-16,1.1394859542563437e-14,2.7643464941930255e-14,4.927777830636262e-16,1.8110525032283989e-16,2.1514767055271353e-17,1.2877660442670938e-16,5.940591746446842e-11,2.304940469941362e-14,8.746843589000965e-14,1.8085670646153932e-13,9.774349044849311e-14,1.0893333322518103e-12,1.0005687415836824e-12,1.0399877129514993e-13,2.5607487049806045e-13,7.173992563750676e-14,1.7626178849740871e-13,1.0842644778400631e-13,1.7751938367231622e-14,1.5730194507764203e-12,3.0084523889152623e-11,7.173992563750676e-14,9.997337013816279e-11,1.658756441510886e-11
27-h11970-01-01-00000,bc_a1_SRF,1970,2.1666944946491084e-10,7.166674741673816e-13,4.987463801344272e-12,9.884493124842791e-12,8.266579434521852e-12,3.3062586316396104e-13,5.822013579072814e-12,2.259053397546272e-13,2.8458461257216896e-15,2.745178399300783e-13,1.8370315714612735e-13,6.815010059548428e-13,3.3422850106817037e-17,3.3422850106817037e-17,2.0977542092819816e-16,1.435375554559133e-16,3.320920231429102e-18,1.0087609197200972e-14,5.212808174214536e-17,1.0087609197200972e-14,1.2985956145456216e-14,1.166462307209837e-16,5.508526397178073e-17,1.338572087037622e-16,1.885614231694173e-15,1.6135531850080246e-11,5.756135732516365e-15,6.815010059548428e-13,5.569644739550538e-13,1.8551758202598654e-13,7.127384201664469e-13,6.7245638620802e-13,4.1054013021119394e-13,2.3566741612517423e-13,3.394787117935986e-13,9.972655666442383e-16,1.1524002548305962e-12,2.8318283005922444e-15,8.872663759624101e-14,3.0297327189024593e-12,3.394787117935986e-13,5.3591591616428835e-11,2.1385178746219292e-12
27-h11975-01-01-00000,bc_a1_SRF,1975,1.3442008589669109e-11,3.9237421534413874e-13,1.1007178050589853e-12,3.2825492266205895e-11,1.88516412458695e-11,3.7997886337340747e-13,2.3104145928446186e-12,2.3512191890587933e-13,1.5006954958064198e-13,2.482994296501813e-13,2.439325850677145e-13,3.8834311954260444e-13,1.9586670294965783e-16,1.9586670294965783e-16,3.635878566966887e-15,1.5959346753960038e-17,6.379157536654475e-16,4.087835037145903e-15,2.096457135683205e-14,4.087835037145903e-15,2.5675114959288864e-15,2.1614957492849293e-18,7.052899012946036e-17,6.936838448501523e-18,3.108507871662515e-16,1.0189870265053634e-11,1.4658837005406523e-13,3.8834311954260444e-13,1.0731508899429872e-13,9.976876999590212e-14,4.742297915880868e-13,1.18196822686324e-12,1.0244311540623348e-13,7.756544829170014e-14,2.2500966713090908e-14,1.2817766826060196e-13,1.4092965299612988e-13,1.3346562314758972e-14,1.8791445121519788e-14,7.941590384750484e-12,2.2500966713090908e-14,7.641317201788148e-12,1.492344592700669e-12
27-h11980-01-01-00000,bc_a1_SRF,1980,3.759275819690516e-11,2.931370635104161e-13,3.163243090750342e-12,1.2281448763240507e-11,2.089302375475326e-11,2.4682016952508833e-13,1.1527925847941079e-11,2.8149595483136617e-13,2.3398934827280696e-15,2.0000416609175985e-13,5.473645690940578e-13,7.655813678942624e-15,3.4273321837040276e-16,3.4273321837040276e-16,1.486578469369864e-17,6.477983584875679e-16,1.0278768975091388e-16,1.5472543820430903e-14,2.967491786982308e-17,1.5472543820430903e-14,7.092594049063554e-15,1.7259886224703064e-16,1.3785766037988468e-16,2.2693573971388974e-17,1.609577289597317e-16,5.365459887990591e-11,1.911087819727398e-15,7.655813678942624e-15,7.147011248058123e-15,2.1631530129752776e-15,3.728084571094719e-13,5.194510289431338e-13,1.981077326063478e-15,1.3694869019315676e-14,1.7729843099206854e-16,5.860975106012536e-16,6.772076493211472e-14,9.679581502476208e-15,4.985394122159145e-13,6.750170426759206e-11,1.7729843099206854e-16,1.0242607231572155e-10,8.081523982491915e-11
27-h11985-01-01-00000,bc_a1_SRF,1985,1.1704846044165204e-11,3.189616641598771e-13,7.649778800940076e-13,2.5420349198323443e-11,2.1734211716123056e-11,4.0370589506689305e-13,6.87380048328421e-11,3.43706827964135e-13,1.0367672847535432e-13,7.364054612298158e-14,4.0933671669351644e-13,3.0961166776600763e-14,7.486322311036613e-15,7.486322311036613e-15,2.7271421869821407e-16,6.132333941248202e-18,2.2173904318715185e-17,1.9165571744643044e-14,3.4870394522980727e-16,1.9165571744643044e-14,3.712072655279331e-15,4.2127213778649333e-16,1.8447720426299648e-17,2.96992153124668e-16,6.038967396994138e-16,2.6287332396182486e-11,1.0650051429459902e-13,3.0961166776600763e-14,3.640539200239806e-15,1.5072380884812423e-15,6.162323298379844e-13,1.2353680844006101e-12,1.9823872174249844e-15,2.668880580445218e-15,8.548085405904646e-15,2.0714069729118383e-14,1.2835323366509161e-14,6.108167928217922e-15,5.040861799310555e-12,8.752216541407205e-11,8.548085405904646e-15,8.82169446605521e-11,1.3088405289233389e-11
27-h11990-01-01-00000,bc_a1_SRF,1990,1.4517076905220107e-10,6.41110011374112e-13,4.688619674380828e-13,1.4984921790827417e-11,9.90502982124231e-12,3.455963795295638e-13,5.2792771214741334e-12,1.34892813404807e-13,2.3110186948830272e-14,4.565944726207558e-13,1.4259625449534151e-13,4.0032533964215485e-13,3.612610798085696e-15,3.612610798085696e-15,2.7185770925076055e-14,1.4436801384390298e-15,4.597522279773981e-15,2.4510921295168406e-14,4.9626091666605094e-14,2.4510921295168406e-14,1.8033763572976188e-14,1.1115673331356007e-14,4.386918394280444e-15,1.6051661428029753e-16,5.611205937235268e-18,1.5661998160818594e-11,2.3078669969341322e-14,4.0032533964215485e-13,1.890860755020947e-13,3.046558705237381e-14,5.42007941966565e-13,5.610004319890727e-13,3.333361391665111e-14,1.4576022606632856e-13,3.552516326121842e-14,1.4342575968774997e-14,4.4128744677528967e-13,1.0901577150657052e-13,1.8948702473343835e-12,1.1605369097056518e-11,3.552516326121842e-14,5.716235065733379e-11,2.2465489024643227e-11
28-h11970-01-01-00000,bc_a1_SRF,1970,9.862268567821774e-12,9.069707361736569e-13,2.7358825429015852e-12,1.1438714016134431e-11,2.07049970647947e-12,2.8558621346857103e-13,1.1690990002902551e-11,3.0237599173970633e-13,5.3848984118646186e-15,4.94516222611295e-13,2.7943754123682675e-13,5.144837369319865e-13,1.116254131307479e-18,1.116254131307479e-18,5.764315288779626e-16,1.209406570107026e-16,2.0489444205539664e-16,2.187746473761491e-14,3.166091648475651e-16,2.187746473761491e-14,1.174797514628002e-14,8.200417602637324e-16,1.8748893624837256e-16,2.1775829301242388e-16,2.1959097564298776e-17,5.512880036482994e-11,3.70923381458004e-14,5.144837369319865e-13,1.9081169693462725e-13,3.7688970007274287e-13,7.441054015323997e-13,6.792825644144484e-13,3.975404326936682e-13,6.951426046424096e-13,6.613458078471155e-14,4.387677423346823e-13,6.630691199273708e-13,2.7995108219364207e-15,9.093813511672171e-13,2.3811664210387586e-11,6.613458078471155e-14,4.50886996872566e-11,3.849469515371736e-12
28-h11975-01-01-00000,bc_a1_SRF,1975,9.31230566169565e-11,2.3243021563258756e-12,2.3968302026364133e-12,1.4780939335225844e-11,6.706476005269645e-12,3.1788235097647056e-13,1.4654458478018788e-12,7.295473876640191e-13,2.494689684261775e-14,4.900610483042359e-14,6.991381265181701e-13,4.678635738169068e-12,2.1729224401564794e-15,2.1729224401564794e-15,5.083708092025582e-15,6.215036322445546e-17,1.662640543978117e-15,1.1756569211057179e-14,4.245505185553024e-15,1.1756569211057179e-14,1.143639585585065e-14,3.1936186645938986e-15,4.825510503105294e-15,1.2064298251320406e-16,5.334490036152288e-16,2.533848014583729e-11,2.1402836762668277e-14,4.678635738169068e-12,2.0136265163891255e-14,9.012525786342888e-13,2.9830935265368765e-12,2.758851010593491e-12,4.912771538113249e-13,9.405791112277276e-15,3.9888470253726507e-14,8.697168142518529e-15,3.678702492765008e-12,5.101895704558472e-15,8.830230345157576e-13,6.707270218179679e-12,3.9888470253726507e-14,1.2010624180032447e-11,1.2557289152818756e-11
28-h11980-01-01-00000,bc_a1_SRF,1980,3.5184891588300373e-10,3.7393281931824063e-13,2.08089666518252e-12,3.796992998932462e-11,2.2111740000987077e-11,5.5752540340060505e-12,1.7937872657078171e-12,1.4836192140366617e-13,8.967486323456667e-15,2.98709611364656e-14,1.2523938689445596e-13,4.2785938130740214e-14,1.734848787387554e-17,1.734848787387554e-17,1.4317891746644493e-16,1.8701276730030466e-17,2.3537389188363596e-16,1.6792753325344088e-14,9.207239269117618e-16,1.6792753325344088e-14,1.0239763595583434e-14,1.5207454715021007e-16,1.201641736699568e-16,5.882395381967305e-15,5.523473133270266e-16,1.613040720028521e-11,7.550441561819663e-15,4.2785938130740214e-14,2.890685518723982e-14,1.1365257373100466e-14,8.07059369317977e-13,1.2432242012566584e-12,1.2466906082719856e-14,1.2559386179368227e-14,1.2402115957835418e-14,1.8304482904592747e-14,6.951684442414505e-15,1.0782296346683876e-14,1.6475616217833835e-13,2.9452301278388278e-12,1.2402115957835418e-14,4.855721370135148e-11,5.518937555761397e-12
28-h11985-01-01-00000,bc_a1_SRF,1985,1.2734962827139847e-10,1.1091042892600895e-12,2.4951512003001295e-12,1.8313951093377103e-11,1.3539659979557427e-11,3.2341605132944796e-13,1.5179634824604602e-11,1.919805475222901e-13,1.0687543363528955e-14,8.621502382447894e-15,1.9298732624720925e-13,8.437771504459687e-13,6.615571315583865e-17,6.615571315583865e-17,4.957930625580959e-16,6.613656545133936e-17,1.5478064560440864e-16,1.045160324509365e-14,2.4113847770957316e-16,1.045160324509365e-14,3.874187038365736e-15,6.590551675021332e-18,7.68582112320693e-17,5.974780428571107e-16,4.628526481914511e-16,2.564124390413911e-11,1.240463129448583e-14,8.437771504459687e-13,9.345613209083692e-14,6.144335248160953e-14,1.0277299788867627e-12,1.4652948162075958e-12,6.215137494696413e-14,1.1017853912535388e-13,7.555501083008538e-15,8.726352631213936e-16,1.826418008265462e-13,4.5145166589044055e-14,9.264914767134897e-12,2.494228657784077e-11,7.555501083008538e-15,9.513771253192745e-11,1.8730690729989402e-11
