model number,BC_vars,year,chellman-2017-1.csv,mcconnell-2007-1.csv,osmont-2019-1.csv,barker-2021-1.csv,ming-2008-1.csv,legrand-2023-1.csv,sierra-hernández-2022-1.csv,eichler-2023-1.csv,osmont-2018-1.csv,zdanowicz-2018-1.csv,sigl-2018-1.csv,wolff-2012-1.csv,mcconnell-2021-1.csv,mcconnell-2021-2.csv,mcconnell-2021-3.csv,mcconnell-2021-4.csv,mcconnell-2021-5.csv,taylor-2011-1.csv,arienzo-2017-1.csv,mcconnell-2017-1.csv,liu-2021-1.csv,liu-2021-2.csv,liu-2021-3.csv,liu-2021-4.csv,liu-2021-5.csv,xu-2009-1.csv,rupple-2014-1.csv,zhang-2024-1.csv,zhang-2024-2.csv,zhang-2024-3.csv,zhang-2024-4.csv,zhang-2024-5.csv,zhang-2024-6.csv,zhang-2024-7.csv,zhang-2024-8.csv,zhang-2024-9.csv,zhang-2024-10.csv,zhang-2024-11.csv,zhang-2024-12.csv,zhang-2024-13.csv,mcconnell-2022-1.csv,matthew-2016-1.csv,kaspari-2020-1.csv
28-h11990-01-01-00000,bc_a1_SRF,1990,1.6265402225641548e-10,5.920484149164234e-13,3.8108939367319085e-13,3.343592296320443e-11,1.2605936156212922e-11,8.225007141146903e-13,5.1887898002273476e-11,1.7975898319646046e-12,1.0353095853361162e-12,1.2138111239901321e-12,1.6092440907717451e-12,5.155845382182554e-13,1.1560904624632634e-16,1.1560904624632634e-16,1.7824301764885857e-15,4.389244050364098e-16,4.473378836471088e-16,6.929681298922209e-15,1.2277234823507067e-14,6.929681298922209e-15,6.627512669127216e-15,4.453753947246582e-16,1.7557404918593006e-16,1.6678776338583104e-16,1.7633257153082495e-16,4.119614688353692e-11,1.5517100927850125e-12,5.155845382182554e-13,1.460020843421499e-12,9.758814720974185e-13,2.2580577618119365e-13,5.294358447361306e-13,1.0708198705931214e-12,1.494770083900864e-12,4.797550311054223e-13,5.658857466184389e-13,9.152988770892495e-13,5.362454864411096e-13,2.575378196168487e-12,6.8751431809151e-11,4.797550311054223e-13,1.115944750261356e-11,8.629462670624274e-12
29-h11970-01-01-00000,bc_a1_SRF,1970,6.316041476726769e-11,7.373604680092152e-13,1.0866263260114388e-12,2.970498351464222e-11,2.01358947533139e-11,1.4433242372057577e-13,4.187409295162663e-11,7.165392979372608e-14,8.61834910981518e-14,4.958925354267734e-13,5.2451588555507284e-14,5.315155701507593e-13,4.813293288456174e-15,4.813293288456174e-15,5.5481022176706016e-14,8.990906657184431e-17,2.1544850652928655e-15,1.1188332963188635e-15,7.220874573741851e-14,1.1188332963188635e-15,2.8641493879844595e-15,1.1565506754480078e-16,2.1189947018919761e-16,3.8226525486223083e-16,3.48548090150796e-18,1.5260970983707795e-11,9.278775356883803e-14,5.315155701507593e-13,7.639453089561367e-14,4.7216843925383603e-14,8.734897338935938e-13,1.0364254707619543e-12,4.4164589898407904e-14,1.0226757364982908e-13,5.583051557798275e-14,3.624825316815226e-14,1.0558817470721086e-13,7.359919794181492e-14,8.537363350256065e-14,4.768256075534769e-11,5.583051557798275e-14,7.685840592936603e-11,1.7292037422012458e-11
29-h11975-01-01-00000,bc_a1_SRF,1975,5.530950661745439e-12,9.33622214875399e-13,8.854220020110773e-13,2.686956071799666e-11,2.1410129977636782e-11,2.484146432481814e-13,4.476367790184077e-12,1.756963762094453e-13,7.769674041781822e-14,1.0981530778377658e-14,1.3509918548115185e-13,5.020667726151762e-13,1.8053020215586427e-16,1.8053020215586427e-16,8.242212166163528e-14,5.847434820227394e-17,3.107484314770413e-17,5.842193615637223e-15,1.2101078241275298e-13,5.842193615637223e-15,3.964208929153137e-15,8.516577674495038e-18,2.6774588342624492e-17,3.7860205070604536e-16,3.141451233526097e-16,6.406319109389055e-11,8.496583340196184e-14,5.020667726151762e-13,6.048433846212783e-14,3.0614236340395225e-14,1.1695338071397411e-12,1.2411062220052178e-12,3.378123946759336e-14,1.2396958073680416e-14,1.6798693923654556e-14,8.486966237283699e-15,3.0394261505258663e-13,7.413942879322874e-14,2.735387809171083e-12,1.2078217201281398e-11,1.6798693923654556e-14,2.3412801811474493e-11,3.6421037984703014e-11
29-h11980-01-01-00000,bc_a1_SRF,1980,2.034094025727353e-10,8.175396981435086e-13,5.784735925383411e-13,2.0668210480449996e-11,1.4047713337375918e-11,1.1468371030474012e-13,1.8086202830164945e-11,2.5193276192134626e-12,1.2537789334911724e-14,5.6631038737269374e-14,4.124514769767951e-12,3.8256139957497274e-13,7.27862428528022e-15,7.27862428528022e-15,6.669517358669215e-15,1.5946986984459717e-15,1.6263151362035022e-15,1.4396879172859257e-14,8.221745062984785e-15,1.4396879172859257e-14,9.561939570520506e-15,3.721093604126585e-16,1.6144872777452596e-15,3.3302385665774064e-16,3.81530239601465e-16,4.3975611625910405e-11,2.4337045886529536e-14,3.8256139957497274e-13,3.59849274734894e-14,1.5036801068467197e-14,1.7760893100620358e-12,8.041691661410921e-13,1.700310502899792e-14,6.118924474629e-14,1.0933050958501493e-14,2.392091216015295e-15,2.1354873577887922e-13,3.913349402643397e-14,2.3591756285633696e-12,6.312270702775248e-11,1.0933050958501493e-14,7.423440722572135e-11,5.829807853434472e-12
29-h11985-01-01-00000,bc_a1_SRF,1985,1.0555573111201032e-10,8.292547415628432e-13,1.9855800013021516e-12,3.3659451452974575e-11,1.955979111318435e-11,1.9183726372911757e-13,1.1856168476271395e-11,2.660295746977555e-13,2.5737430120677283e-14,2.010188257692559e-14,2.9141236388159934e-13,3.9922452227296165e-13,4.680454777292557e-17,4.680454777292557e-17,4.1634530229856745e-14,7.253820222364588e-16,4.2705198942753187e-16,2.4678328778502578e-15,1.5268738820333928e-13,2.4678328778502578e-15,8.693726542701186e-15,3.626990578557493e-15,2.564849078444667e-16,2.914963072753166e-16,1.4952273697975287e-15,5.897376819351821e-11,2.553259142015076e-14,3.9922452227296165e-13,3.1114965526552077e-13,1.6343512645090808e-14,5.262978664814828e-13,1.0594752929841103e-12,4.8992478921405444e-14,3.6413319391591106e-13,4.240698231089593e-14,9.552000332143785e-14,5.198890818378279e-13,1.5021730561314605e-14,8.443383120700234e-12,2.2057758218383143e-11,4.240698231089593e-14,1.6593886543137116e-11,1.9384558024967503e-11
29-h11990-01-01-00000,bc_a1_SRF,1990,7.86763698123627e-11,5.958835024566654e-13,1.0311334086545088e-12,3.8509196476700386e-11,1.588707639076257e-11,2.546935825028135e-13,5.6732057947514446e-11,1.9853739367226266e-13,1.3975858798949551e-15,8.521899348148843e-18,2.2621867159357745e-13,7.621517349046517e-13,2.8359988807788907e-14,2.8359988807788907e-14,4.706918516857536e-16,4.119978350717156e-16,9.73676955249417e-16,7.071445025515685e-15,1.5468133869379873e-16,7.071445025515685e-15,1.0438201725668882e-14,1.9153697545544976e-16,1.2466865729413966e-15,1.1629406923611615e-16,3.726747204940386e-17,5.367674905884678e-11,2.0015600605833328e-15,7.621517349046517e-13,1.0958980008746697e-16,4.558376678073056e-17,2.547665586187498e-13,4.529503126218714e-13,5.861629223122334e-16,4.958390356677834e-17,1.2591880742476116e-16,4.1195873925972146e-16,7.395700212022618e-13,7.141299686382455e-15,6.927648478300112e-13,6.267081972887316e-11,1.2591880742476116e-16,6.233400952783235e-11,3.279090000190097e-13
30-h11970-01-01-00000,bc_a1_SRF,1970,1.1167263799839271e-10,5.442741018279886e-13,2.446380596300677e-14,1.8326213182057685e-11,1.7538369505937568e-11,3.0143781808749596e-13,4.141158107259524e-12,8.96155722059278e-14,2.9828757314344904e-15,2.713154288136028e-14,8.275889572413647e-14,1.4724063860798188e-13,4.1643972344080456e-17,4.1643972344080456e-17,2.582713526827053e-15,7.799701874508895e-17,5.261587946979337e-16,1.2360851616450943e-15,4.5912462033182745e-15,1.2360851616450943e-15,5.351112238028913e-16,1.3802890502873611e-14,3.5074671175782665e-17,4.315390401898724e-17,1.805440895943739e-15,1.3984997148291464e-11,2.9225968275222928e-15,1.4724063860798188e-13,6.161691940862986e-14,1.3655894408358459e-13,2.3279207415390767e-13,5.511197987920119e-13,1.165350032017451e-13,9.09729293157459e-15,9.519778419137064e-15,2.4987970377725763e-14,1.7724133473223709e-13,6.471047983954964e-14,2.9113306171320633e-13,4.052482655313995e-12,9.519778419137064e-15,3.159100425259545e-11,6.23026793548042e-12
30-h11975-01-01-00000,bc_a1_SRF,1975,1.792623277645251e-10,5.744611302627929e-13,2.07051857477616e-12,2.06184849366934e-11,1.21584281455536e-11,1.0762894062298946e-13,4.2096439401610684e-11,2.0120561838244176e-13,2.4713280456892723e-14,3.438084615477341e-14,2.480848983795394e-13,1.6744396932400378e-13,3.597744641449066e-17,3.597744641449066e-17,3.435372657490602e-16,1.3441381663305836e-15,2.4326950487878193e-15,8.573574889327886e-15,3.233098649552493e-15,8.573574889327886e-15,2.7475212856023876e-16,1.3199200344018282e-15,7.823149105378723e-16,1.9525500402465737e-18,4.345759856442132e-16,4.17757351732711e-11,2.4693548201830456e-14,1.6744396932400378e-13,1.0451013617553834e-13,2.061439310335088e-14,1.2905856530770412e-12,1.3602898821018316e-12,2.475479685112454e-14,1.8666818112283498e-14,8.773481795661713e-14,4.742011314256197e-14,3.5538796043291476e-14,3.0786877608844097e-13,1.4246800465575679e-12,5.1180699089668964e-11,8.773481795661713e-14,1.1506482333569086e-11,6.359490378605282e-13
30-h11980-01-01-00000,bc_a1_SRF,1980,2.968308201595587e-10,3.0392895410061763e-13,1.1242584515363299e-12,1.3127654201159068e-11,9.002266099500872e-12,2.1180230415492406e-13,1.2830382410467911e-11,3.198148338350087e-13,7.035878962265311e-14,4.110428253639596e-15,2.7274268567529984e-13,2.214501044681494e-14,6.400254009129018e-17,6.400254009129018e-17,3.263963978160891e-14,2.008667336647721e-15,1.9097912893580506e-15,5.7879434698284765e-15,3.566973915096027e-14,5.7879434698284765e-15,4.92053186340195e-16,1.4279960272987131e-15,2.36620944901572e-15,7.336499739022594e-16,1.7538995719045355e-16,2.8639835294286075e-11,7.169322818972147e-14,2.214501044681494e-14,7.0395793893119595e-15,6.114603028618849e-15,7.003961353931467e-13,9.827823200426184e-13,1.0732151279086295e-14,1.8218151762992252e-14,5.191365879656316e-14,1.5746271125708033e-15,2.001003921774332e-14,2.0910482580694574e-14,4.272559759502529e-13,1.7217880359658192e-11,5.191365879656316e-14,1.0026959249617031e-10,7.380656329020496e-12
30-h11985-01-01-00000,bc_a1_SRF,1985,2.286401594398383e-10,5.108603043019863e-13,4.248877823741855e-13,2.7355532069089226e-11,2.399929125520777e-11,4.624010519927535e-13,4.255876331951839e-11,3.5531242243851933e-13,7.262804181621912e-16,2.0432046542955775e-14,3.0264227552031096e-13,4.515750291618026e-14,1.814501741396763e-16,1.814501741396763e-16,2.247882862404135e-15,1.6623850178401205e-17,1.8309377422443756e-16,2.2909795024266244e-14,1.198438017545478e-15,2.2909795024266244e-14,1.526981522587863e-14,2.0001464337053607e-15,2.656226365459103e-16,6.430484377598978e-16,4.023140863229605e-16,5.758776580838123e-12,2.5736816160426586e-16,4.515750291618026e-14,5.3359754088839514e-14,5.387439735926145e-14,5.78902646761657e-13,8.396997742799323e-13,5.564432464493029e-14,3.7300552841851177e-14,1.1925243844831126e-15,6.822655540671712e-15,3.5473056011283473e-14,3.797636856332171e-15,1.4766804131688122e-13,4.6267218600511846e-11,1.1925243844831126e-15,9.575230568392819e-11,4.633461138084202e-11
30-h11990-01-01-00000,bc_a1_SRF,1990,9.105503504909516e-11,2.7638014150380015e-13,2.2567185695940525e-12,3.7036326570155784e-11,3.814900829344588e-11,9.776204360394392e-13,5.563330074166578e-12,5.133244574779302e-13,1.2141215449903798e-14,1.8325109485819662e-13,4.193736514640282e-13,1.1136069752241071e-13,3.4688620447464192e-15,3.4688620447464192e-15,4.441765370626516e-15,6.795328160814558e-15,1.1342748224379142e-14,1.019761565787203e-14,7.650872380052371e-15,1.019761565787203e-14,8.421145538757616e-15,9.028819599681256e-15,1.0239017561168376e-14,2.99734139459417e-17,1.7550829158228846e-16,5.357928470693745e-11,2.8040481347160255e-14,1.1136069752241071e-13,9.172989652529664e-14,1.998984310852945e-15,5.379097393534832e-13,6.495669363929906e-13,4.224985574274506e-15,8.757408239334655e-14,1.1739545948313667e-14,2.6794625584174956e-15,2.902942337441666e-13,8.9513069656353e-14,1.7984883208807398e-13,1.2188862788079327e-11,1.1739545948313667e-14,8.341699484611439e-11,2.538431220694372e-12
31-h11970-01-01-00000,bc_a1_SRF,1970,8.681306738287571e-11,9.33054435522604e-13,1.1535368387049113e-12,1.2303739318546805e-11,8.153846859866408e-12,6.470745684566491e-13,5.023088531243245e-12,1.1056233899685867e-13,3.249048008471055e-14,9.061174839206129e-13,8.411806627271878e-14,1.0820629172358271e-12,9.842342500112407e-17,9.842342500112407e-17,5.894145740445382e-15,8.084843445965912e-16,2.3102112051223893e-15,7.01117733782701e-15,1.3285704420199777e-14,7.01117733782701e-15,7.159638288245136e-15,2.541219631019748e-16,1.7658686957271604e-15,4.801482069975951e-15,9.838446299701294e-16,3.05478789551892e-11,5.289122485810488e-14,1.0820629172358271e-12,1.4259649852120909e-12,2.143821238669749e-12,5.135646184933378e-13,8.154753775076396e-13,2.200234852380174e-12,9.450539084155909e-13,3.0413677724443076e-13,1.973326296393889e-13,1.5311378892511396e-12,1.1736800448708085e-14,3.378948591869227e-12,1.0600936465055427e-11,3.0413677724443076e-13,6.294250098657843e-11,1.1314979561815364e-11
31-h11975-01-01-00000,bc_a1_SRF,1975,1.577821662092753e-10,6.575932365366737e-13,2.3473482406674526e-12,7.059873953883118e-12,2.218172139053322e-12,2.09883219329489e-13,2.6447170534943632e-11,1.0912071229706491e-13,2.9284646236174794e-14,1.3004560297595736e-12,1.4889445721089098e-13,3.274772781149052e-13,8.955029942892624e-15,8.955029942892624e-15,4.763309583990945e-14,3.684677185852472e-16,2.3462453866497527e-16,6.8586917523666e-15,1.3284742659070304e-13,6.8586917523666e-15,5.752069137165987e-15,7.123171427831024e-16,1.199003100862012e-16,1.322115417468858e-16,3.6338281599616087e-16,6.262773430715367e-11,3.16251861296414e-14,3.274772781149052e-13,1.2387010156837914e-13,1.2306771177773339e-13,1.3450666687309493e-12,7.383319293225746e-13,8.486760998400476e-14,1.0220468852174408e-13,3.4035950993312564e-14,1.580685081069051e-14,1.0672777401308568e-13,4.49301757754306e-15,1.160746521898072e-13,4.898187703652557e-11,3.4035950993312564e-14,2.448705438011138e-11,2.8747853350031046e-11
31-h11980-01-01-00000,bc_a1_SRF,1980,2.736458151894124e-11,5.696677074110214e-13,1.834187238025628e-12,1.361416623251844e-11,5.222284537237561e-12,1.428011208646014e-13,1.1364043113295159e-11,2.0541173543675018e-13,1.4599290106814992e-14,5.708916074565912e-13,2.1189411885920814e-13,6.4654418861403474e-15,9.531130595770279e-17,9.531130595770279e-17,1.8361287274919504e-14,2.6607334901735994e-15,2.232123367612761e-16,1.0273310768157034e-14,3.934612952071701e-15,1.0273310768157034e-14,9.404859175799662e-15,3.1725977817798116e-17,5.160984926738851e-17,5.526238191403068e-16,4.097840922830253e-15,8.327187856915852e-11,1.8975593964798095e-14,6.4654418861403474e-15,1.5492375255644185e-15,2.955081920391386e-15,8.312746023769788e-13,7.429099882535807e-13,2.1494636860955075e-15,3.124936377349729e-15,1.4721369174638938e-14,5.3800848543023365e-15,2.626254309853671e-15,4.314487835913796e-14,1.6491578451325441e-12,1.3651236451474836e-11,1.4721369174638938e-14,1.357849907794338e-11,2.900481335165202e-12
31-h11985-01-01-00000,bc_a1_SRF,1985,2.0546778822704206e-10,3.186677933829695e-13,1.1291247983408105e-12,2.4345693459823835e-11,1.561546348651922e-11,1.8793648788882555e-13,1.185603813449722e-10,7.347075543672386e-14,1.838849439534539e-16,1.1545927604576908e-13,7.707555315472624e-14,1.7452399692206847e-13,5.3877742354989844e-17,5.3877742354989844e-17,3.163776143463943e-14,9.773238831487787e-16,2.4170575943081515e-15,1.5759182091063076e-14,3.326463728596443e-14,1.5759182091063076e-14,1.3484007443983452e-14,4.002606376949981e-16,9.216208550681974e-16,1.3009047074966122e-16,2.7804869514124174e-16,8.625082152173463e-11,3.442325597413928e-16,1.7452399692206847e-13,2.912751958748194e-14,2.8274010603979188e-14,5.486521530917648e-13,8.286336102515987e-13,3.42645086021081e-14,1.2702712498377425e-14,1.4789264728399963e-15,9.923143146464192e-15,2.8874856695298024e-14,2.6499577410688795e-14,1.405796639357114e-12,1.1269302264999443e-10,1.4789264728399963e-15,7.623929523333486e-11,1.92750854906549e-11
31-h11990-01-01-00000,bc_a1_SRF,1990,6.9130742064219e-11,1.6302307283869803e-12,1.9092481456346197e-12,1.0677789810429104e-11,6.218843619031311e-12,5.679707202916363e-13,1.6592439532687558e-11,7.420272138221699e-14,7.347324596816877e-15,3.4005337304457545e-14,8.980212046864455e-14,3.0503227476741706e-13,5.004328186752104e-16,5.004328186752104e-16,3.227359614588893e-15,9.654817491992682e-17,1.9433580069963327e-17,2.898121588423615e-14,1.4724559096055527e-14,2.898121588423615e-14,4.104287608747227e-15,2.138868947918762e-15,1.3235125377989817e-16,8.552933207950894e-17,9.921454340063202e-17,4.80055941135519e-11,8.864065771497613e-15,3.0503227476741706e-13,3.136518737898761e-13,1.9272006913524516e-13,2.5496126747597876e-12,2.7028636331710203e-12,1.916292400298055e-13,1.6281153407943254e-13,2.0144214826408717e-14,2.8024814821992184e-14,8.881736058861135e-13,4.9910968527705804e-15,1.4837819919446503e-12,2.6911292344146733e-11,2.0144214826408717e-14,2.040960021024787e-11,8.003587216551606e-13
32-h11970-01-01-00000,bc_a1_SRF,1970,2.0483181130743033e-10,5.643092198634396e-13,2.362564113236696e-12,3.908781421799038e-11,1.2766333407220343e-11,6.994690718577335e-13,8.848587115467811e-12,2.749404826095256e-13,1.3038758161970882e-13,3.2618005968416916e-12,2.79823658519839e-13,6.468061482027365e-13,1.474296235932296e-15,1.474296235932296e-15,8.719258308172444e-16,2.080006064369922e-15,8.425662720278189e-15,1.3755305839359786e-14,7.186979254678502e-16,1.3755305839359786e-14,7.792021887122451e-15,3.637465525519793e-17,1.4103430168030607e-15,5.004317050189874e-17,7.18523280888642e-18,4.3549580375402134e-11,2.42051380891775e-13,6.468061482027365e-13,4.243202190837917e-13,3.5235828746984885e-13,3.4980865691731113e-13,4.423570916319177e-13,3.6018307565319126e-13,1.042340984985638e-12,4.650390578635982e-13,3.318208455162288e-13,4.37303520898908e-13,6.604850146838646e-15,3.520551850689023e-12,1.371709333187622e-11,4.650390578635982e-13,2.2158133607258978e-11,9.865824897123892e-12
32-h11975-01-01-00000,bc_a1_SRF,1975,2.560039576382275e-10,4.330105600099172e-13,6.667618296815112e-13,1.6242094609826622e-11,4.4123178635593525e-12,1.5640765042513877e-13,2.333750335821427e-11,3.5238858755213714e-13,1.2416488067932189e-14,1.332430024263316e-13,3.1447383158546103e-13,4.106254563321663e-14,8.935556130448513e-16,8.935556130448513e-16,2.0543982890905395e-15,3.5003233220472223e-16,7.773688345071972e-16,7.345249084111188e-15,1.1671968638014863e-14,7.345249084111188e-15,4.791321123098746e-15,4.445837870363091e-15,1.0011017557779793e-15,1.406236226289336e-16,1.9850520129432852e-15,5.126823265338213e-11,3.808269544232655e-14,4.106254563321663e-14,2.0163581696121393e-14,7.598672814635769e-15,1.0878663293452684e-12,1.2713761931795923e-12,7.52344169184385e-15,2.5816810915620522e-14,3.845484926176639e-14,3.6867197173846495e-14,1.1938660142517006e-14,2.9346186676798747e-14,2.210474797738908e-13,4.279986655026017e-11,3.845484926176639e-14,1.1805454945896448e-11,1.4999612292106501e-12
32-h11980-01-01-00000,bc_a1_SRF,1980,4.946137925345751e-10,3.7073460739304103e-13,1.198308373868224e-12,1.2216591218217017e-11,7.1219106735371536e-12,1.9850328359544706e-13,2.8312045341241718e-11,5.274898248167857e-14,2.1654920810662145e-14,7.077300034903075e-14,6.1180858987028e-14,5.76918439331527e-14,1.8084890268119163e-17,1.8084890268119163e-17,2.4436736086384455e-14,6.337986232483457e-15,1.581439755031524e-15,9.341146643079232e-15,1.9561696596938902e-14,9.341146643079232e-15,4.8961761855947945e-15,1.3109640535194459e-14,4.8534722942745006e-17,9.012255289697598e-16,8.79820919973694e-16,1.7252333394263772e-11,2.594105189950042e-14,5.76918439331527e-14,4.739556188426573e-14,3.131543298182393e-14,6.501611660765131e-13,8.694803809596856e-13,4.2701765627712155e-14,4.7260566192630945e-14,4.945760173002295e-14,7.42180873076741e-14,1.0775084815562592e-13,1.0206562178279624e-14,2.8152136771364288e-12,3.890190182117258e-11,4.945760173002295e-14,6.82381655985803e-11,7.0054791374404366e-12
32-h11985-01-01-00000,bc_a1_SRF,1985,3.435226260777009e-11,1.0950896489612784e-12,5.989092115046906e-13,1.3514381660846591e-11,9.108115422780308e-12,8.330714317970045e-13,1.656675082839805e-11,1.7127839787112924e-13,1.4716665097193965e-14,5.509148026902267e-12,1.9083172071302174e-13,7.985831967142743e-14,3.590092614683145e-16,3.590092614683145e-16,1.0682428409583475e-14,1.2401193748628045e-15,1.9468148764686072e-17,7.532154902748337e-15,8.886714531090211e-15,7.532154902748337e-15,2.380040963243371e-16,3.111126124962273e-17,7.952074738404777e-17,1.1868527583194772e-16,3.7830427306835026e-17,1.3445937302378007e-11,1.6844958130074238e-14,7.985831967142743e-14,4.498191424346832e-14,4.8637680813489524e-14,1.2191434538167444e-12,6.248171417881729e-13,4.9827130513785366e-14,6.340792927543993e-14,1.166006627772718e-13,1.253065176869428e-13,1.1164760895216906e-13,3.059339877936623e-14,2.1249195314006995e-13,5.978731444655543e-11,1.166006627772718e-13,6.799958282819816e-11,1.9266108256578053e-11
32-h11990-01-01-00000,bc_a1_SRF,1990,1.7665502685108572e-11,1.3786436290598185e-13,6.020760137722026e-13,1.8318892432474363e-11,7.69339134437175e-12,5.924761768567098e-13,4.392454944321583e-12,6.949244324497556e-13,1.3662120936028488e-14,3.879243539222313e-14,9.308837011581365e-13,1.4651029173708872e-14,1.114212172111293e-15,1.114212172111293e-15,1.1693957000288008e-14,7.365199225224841e-15,1.1068361549275188e-15,1.4197462867828565e-14,1.123005658139977e-14,1.4197462867828565e-14,9.806890521546441e-15,4.247338851253165e-17,2.9823521707115285e-15,3.9172868120320574e-17,2.836311221610165e-16,1.8753949100246017e-11,1.5833745715223278e-14,1.4651029173708872e-14,2.1365800316511335e-14,2.271388335852826e-14,3.3371821301773403e-13,4.784896189699446e-13,2.114145389771306e-14,2.4559619740603463e-14,2.9120551501653034e-14,2.3489532955526778e-15,1.948657426965896e-14,5.833109999840703e-15,6.059127143597429e-13,8.946359392377803e-12,2.9120551501653034e-14,4.826217308922218e-11,1.0334557756462916e-11
33-h11970-01-01-00000,bc_a1_SRF,1970,2.2025977353346828e-10,4.67636309973733e-13,3.2520989554358417e-13,5.798928033963581e-12,2.4588388179818077e-12,4.4852124244723517e-13,6.280718297432214e-13,9.551149586239771e-14,6.790521936090653e-14,1.3461819686400462e-13,1.0607973812818427e-13,4.360597262410439e-14,1.5602489184588563e-15,1.5602489184588563e-15,3.2624426574399205e-15,2.606851893043402e-15,1.9582062772580325e-16,2.375550595384466e-15,1.5456848109778612e-15,2.375550595384466e-15,3.5331843970626527e-15,7.530431296867128e-16,1.7619514171612748e-16,4.3928915858411435e-17,4.881685229467427e-16,1.3817386336498872e-11,1.1752529709136379e-13,4.360597262410439e-14,6.537220513289362e-14,6.964598648272522e-15,2.994752304299051e-13,4.447075974990586e-13,7.166304346032862e-15,7.123157031712529e-14,4.8634264046035006e-14,1.6844582227129828e-14,7.267192222714111e-14,1.1599053508378455e-14,5.273931471932537e-13,2.5669334952213342e-12,4.8634264046035006e-14,5.239233091484551e-11,9.942349197019562e-12
33-h11975-01-01-00000,bc_a1_SRF,1975,3.770152470331161e-12,8.198772437361183e-13,3.7886596224890734e-13,7.364400569711724e-12,2.866919364002546e-12,1.5987462601629766e-12,1.2818328424941634e-12,2.144962199718347e-13,2.3987370939624014e-16,1.4071854611578968e-12,2.2064836072585217e-13,4.2288113820416957e-13,2.1348786776540467e-15,2.1348786776540467e-15,2.0274163585440858e-15,3.771391438802924e-15,8.852996733942273e-16,3.113281203032717e-15,2.1810602997362463e-15,3.113281203032717e-15,5.64758874522979e-15,1.2971769571203594e-15,8.350365348493246e-16,2.6927444533734192e-17,2.300703050707442e-16,2.0643741346025315e-11,5.317257620909894e-16,4.2288113820416957e-13,2.7735255243583656e-13,2.951669094181928e-13,4.587957444346159e-13,1.0469320268495197e-12,2.839594072989894e-13,2.4443764577863533e-13,8.622206860418774e-15,2.588139631468038e-14,5.314984881613195e-13,1.6108918948589332e-15,7.149358669590897e-13,2.1108397728198682e-11,8.622206860418774e-15,3.446808564300116e-11,3.960476015853016e-11
33-h11980-01-01-00000,bc_a1_SRF,1980,4.855102774603604e-10,6.931300082914224e-13,1.459331083765031e-12,1.4242721220527247e-11,1.3179814793447648e-12,5.645801627778799e-13,9.124271021592941e-12,3.224232724452157e-13,5.06181867296185e-15,8.383587141416727e-15,3.1480544855641155e-13,2.0074044472340202e-13,1.1793828547540891e-15,1.1793828547540891e-15,1.4092875032384742e-14,6.157668511051607e-15,8.023098573612105e-17,9.166267197406191e-15,1.0453051004967453e-14,9.166267197406191e-15,1.3100408110696375e-14,2.3624208416815405e-16,8.542334259921855e-18,4.695144277270043e-16,1.0606748974310245e-16,2.205373148945026e-11,4.461796413824716e-15,2.0074044472340202e-13,2.6170493209766397e-15,7.759729662064415e-14,4.761881285880796e-13,7.312778037804388e-13,4.363028391102161e-14,3.259129891641282e-14,1.454265500511331e-14,9.464771468842961e-14,6.290209459423421e-16,9.434007120697653e-14,7.090198164620948e-13,1.9245734062997408e-11,1.454265500511331e-14,3.81272491062531e-11,5.472327669776418e-12
33-h11985-01-01-00000,bc_a1_SRF,1985,1.061861034692028e-11,1.3401226116633925e-12,4.296452753088188e-12,5.29197118345261e-12,6.278711038624964e-12,4.985378506017452e-13,5.95243107936119e-13,1.912285343067384e-13,2.1765739497129637e-14,2.9584167169872767e-12,1.8155443697001563e-13,1.0739746644059639e-12,8.43271977030774e-18,8.43271977030774e-18,1.3143101382586953e-15,2.0158467723265886e-15,4.542237129923426e-16,3.631925685251978e-14,4.869733309141614e-16,3.631925685251978e-14,1.7818362727672753e-14,2.837532627879563e-15,3.5470776504290033e-16,1.4391143965033188e-15,1.0453941693032842e-15,2.560302683723273e-11,2.0602615422536615e-14,1.0739746644059639e-12,1.0070391987581339e-13,2.568513579007148e-13,4.781676473590475e-13,6.785388926249548e-13,1.743002949516684e-13,1.429995399503755e-14,8.672498357029013e-14,4.8893215826841165e-14,6.920076860984512e-13,4.977853258277284e-14,8.819190489981708e-12,1.4625247922642427e-12,8.672498357029013e-14,6.895123039996423e-11,5.030142456455458e-12
